STN,COAST_KM,IS_COASTAL,SEA_FRAC_18,SEA_FRAC_50,LOG_COAST
255,7.585979681834187,1,0.08264462809917356,0.2135388002201431,2.150130603369821
257,16.46300766429364,0,0.0,0.34452394056136487,2.8600847958451823
258,2.873065493799638,1,0.21991701244813278,0.2868942731277533,1.3540463107432743
259,8.879999999992712,1,0.03734439834024896,0.32709251101321585,2.290512511759039
260,11.496437766294205,0,0.07883817427385892,0.2450440528634361,2.5254436249976466
261,4.277883790191773,1,0.21991701244813278,0.4592511013215859,1.6635252200652955
262,3.6539217831722626,1,0.34854771784232363,0.473568281938326,1.5377102583727913
263,29.7412832254403,0,0.0,0.08035222894881673,3.425606481723243
264,57.523873997187664,0,0.0,0.0,4.069434773502657
266,2.2199999999916713,1,0.24481327800829875,0.29790748898678415,1.1693813595537303
268,4.802401619734654,1,0.5850622406639004,0.6914600550964187,1.7582719042161121
271,45.23724876574773,0,0.0,0.006546644844517185,3.8337857235833397
272,79.94880658886778,0,0.0,0.0,4.393816937443851
273,130.19122890313767,0,0.0,0.0,4.87665602140281
276,33.35287239063496,0,0.0,0.07949561403508772,3.5366856364425994
277,3.5675856866036804,1,0.4403292181069959,0.4928728070175439,1.518984769160544
278,62.61492532773308,0,0.0,0.0,4.1528481177785705
279,106.91196955996719,0,0.0,0.0,4.681315798085339
281,39.772308123333985,0,0.0,0.010982976386600769,3.708003128506444
283,27.365083094478514,0,0.0,0.19791094007696536,3.345158920246424
284,69.40830885387172,0,0.0,0.0,4.254311279692268
285,55.09064025315194,0,0.0,0.0,4.026968958201968
288,36.304106663305404,0,0.0,0.03026967528893781,3.619103418801348
289,42.500682037530794,0,0.0,0.006604292790313704,3.77277661699542
294,1.8209991578729037,1,0.5518672199170125,0.6051762114537445,1.0370911334990431
295,1.8225836487793965,1,0.5809128630705395,0.5082599118942731,1.0376526530168424
296,4.439999999992018,1,0.05371900826446281,0.4023115024766098,1.693779060866384
